,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
97214,Q714415,Li Mu,Chinese general,Male,Zhao,Military personnel,-250,-229.0,capital punishment,21.0
94285,Q702231,Liu Ruyi,4th son of Emperor Gao of Han,Male,Western Han Dynasty,Politician,-208,-194.0,homicide,14.0
47450,Q298628,Antiochus V,Seleucid ruler,Male,Seleucid Empire,Monarch,-173,-162.0,homicide,11.0
315579,Q3241423,Liu Rong,son of Emperor Jing of Han,Male,China,Politician,-165,-148.0,suicide,17.0
253716,Q2457060,Antiochus II of Commagene,king of Commagene,Male,Turkey,Sovereign,-50,-29.0,capital punishment,21.0
531,Q7244,Emperor Ping of Han,emperor of the Han Dynasty,Male,Western Han Dynasty,Monarch,-9,6.0,homicide,15.0
583498,Q6917386,Mother Lü,1st century AD Chinese rebel leader against the Xin dynasty,Female,China,Politician,-1,18.0,natural causes,19.0
95345,Q708151,Li Su,Chinese warlord and general,Male,China,Military personnel,101,192.0,capital punishment,91.0
128192,Q1068930,Xu Gong,Governor of Wu,Male,China,Politician,101,200.0,capital punishment,99.0
126311,Q1046427,Yuan Yi,politicus uit China (-192),Male,China,Politician,101,192.0,homicide,91.0
150129,Q1330542,Fan Chou,Chinese politician,Male,China,Politician,101,195.0,capital punishment,94.0
96017,Q710072,Liu Yu,Chinese warlord and politician in the late Eastern Han dynasty,Male,Eastern Han Dynasty,Politician,101,193.0,capital punishment,92.0
151238,Q1336628,Tian Feng,Advisor to the warlord Yuan Shao,Male,China,Politician,101,200.0,capital punishment; suicide,99.0
156523,Q1363674,Niu Fu,General serving under the warlord Dong Zhuo,Male,China,Politician,101,192.0,capital punishment,91.0
120403,Q971462,Gan Ji,Chinese spiritualist,Male,China,Physician,101,200.0,homicide,99.0
94823,Q705769,Han Xian,Chinese general,Male,China,Military personnel,101,197.0,capital punishment,96.0
553,Q7301,Prince of Hongnong,emperor of the Han Dynasty (176-190),Male,Eastern Han Dynasty,Politician,176,190.0,suicide,14.0
134212,Q1147819,Sun Yi,Han dynasty general (184-203),Male,Eastern Han Dynasty,Athlete,184,203.0,homicide,19.0
66498,Q448098,Empress Fu Shou,Chinese empress,Female,Eastern Han Dynasty,Empress consort,200,214.0,capital punishment,14.0
122005,Q982915,Dong Xi,General under Sun Quan,Male,Eastern Han Dynasty,Military personnel,200,217.0,accident,17.0
94117,Q700920,Liu Feng,Adopted son of Liu Bei,Male,Eastern Han Dynasty,Military personnel,200,220.0,capital punishment; suicide,20.0
80301,Q550290,Cao Mao,Cao Wei emperor (241-260),Male,China; Cao Wei,Artist,241,260.0,homicide,19.0
70749,Q470034,Sun Liang,Eastern Wu emperor (243-260),Male,China,Politician,243,260.0,suicide,17.0
583,Q7382,Emperor Min of Jin,emperor of the Jin Dynasty (265–420),Male,China,Politician,300,318.0,capital punishment,18.0
137076,Q1199590,Shi Hong,emperor of the Jie state,Male,Later Zhao,Politician,313,334.0,homicide,21.0
125600,Q1038456,Sima Yuanxian,Jin Dynasty regent,Male,China,Military personnel,382,402.0,capital punishment,20.0
3348,Q49701,Emperor Shao of Liu Song,emperor of the Liu Song Dynasty,Male,China,Politician,406,424.0,homicide,18.0
